Time,Level,Message
"2022-02-14 17:13:07,807",CRITICAL,primary server is down
"2022-02-14 17:13:07,807",CRITICAL,connection to secondary server successful
"2022-02-14 17:14:44,207",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:14:47,608",CRITICAL,primary server is down
"2022-02-14 17:14:47,609",CRITICAL,connection to secondary server successful
"2022-02-14 17:14:50,214",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:14:53,636",CRITICAL,primary server is down
"2022-02-14 17:14:53,636",CRITICAL,connection to secondary server successful
"2022-02-14 17:15:19,798",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:15:20,172",CRITICAL,primary server is down
"2022-02-14 17:15:20,172",CRITICAL,connection to secondary server successful
"2022-02-14 17:15:22,477",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:15:25,882",CRITICAL,primary server is down
"2022-02-14 17:15:25,882",CRITICAL,connection to secondary server successful
"2022-02-14 17:15:32,790",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:15:33,178",CRITICAL,primary server is down
"2022-02-14 17:15:33,179",CRITICAL,connection to secondary server successful
"2022-02-14 17:15:35,594",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:15:38,996",CRITICAL,primary server is down
"2022-02-14 17:15:38,996",CRITICAL,connection to secondary server successful
"2022-02-14 17:15:51,409",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:15:52,301",CRITICAL,primary server is down
"2022-02-14 17:15:52,301",CRITICAL,connection to secondary server successful
"2022-02-14 17:15:54,733",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:15:58,129",CRITICAL,primary server is down
"2022-02-14 17:15:58,129",CRITICAL,connection to secondary server successful
"2022-02-14 17:16:14,166",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:16:17,560",CRITICAL,primary server is down
"2022-02-14 17:16:17,560",CRITICAL,connection to secondary server successful
"2022-02-14 17:16:34,791",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:16:38,177",CRITICAL,primary server is down
"2022-02-14 17:16:38,178",CRITICAL,connection to secondary server successful
"2022-02-14 17:17:03,333",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:17:06,801",CRITICAL,primary server is down
"2022-02-14 17:17:06,801",CRITICAL,connection to secondary server successful
"2022-02-14 17:17:27,241",CRITICAL,secondary server was successfully backed up
